path	blob	status	findings	reason
.agents/skills/ask-matt/PHASE-BOUNDARIES.md	bf21e28e7e649456653fb2eca6c722ec152196ec	excluded		Skill or supporting resource excluded at user request.
.agents/skills/ask-matt/SKILL.md	58daa181cfa75f8f344c7b38637f29c055abcf8a	excluded		Skill or supporting resource excluded at user request.
.agents/skills/ask-matt/agents/openai.yaml	2217b6a01ab8775b043c4617eecf702147eba732	excluded		Skill or supporting resource excluded at user request.
.agents/skills/claude-handoff/SKILL.md	9c1391abc347b2e1ed3c34232b83ee57d6e5af28	excluded		Skill or supporting resource excluded at user request.
.agents/skills/claude-handoff/agents/openai.yaml	72ff592a603d2fcbe8d1359f6509b8b0009ccd29	excluded		Skill or supporting resource excluded at user request.
.agents/skills/code-review/SKILL.md	0d408cca8c320d1d98dec00a069242af7607be65	excluded		Skill or supporting resource excluded at user request.
.agents/skills/code-review/agents/openai.yaml	29c13a0eda2b24a963c9260b707e2bf1bb1ea0ae	excluded		Skill or supporting resource excluded at user request.
.agents/skills/codebase-design/DEEPENING.md	ee8fc2449d6c652a6610db35473bf3a118c2523a	excluded		Skill or supporting resource excluded at user request.
.agents/skills/codebase-design/DESIGN-IT-TWICE.md	7edc861a31b1b219b933af18079f66b564c5de67	excluded		Skill or supporting resource excluded at user request.
.agents/skills/codebase-design/SKILL.md	84d497f7cf83f9060d9d7c8bf566c7d861a807a4	excluded		Skill or supporting resource excluded at user request.
.agents/skills/codebase-design/agents/openai.yaml	939af069d5cbd2d0aebaecacdb66be7b238177fc	excluded		Skill or supporting resource excluded at user request.
.agents/skills/diagnosing-bugs/SKILL.md	061c25a524acaa93d4534e9e08a793c0a5fe45fd	excluded		Skill or supporting resource excluded at user request.
.agents/skills/diagnosing-bugs/agents/openai.yaml	52ebbc48fb4700d01691a02c666d03c88f46af72	excluded		Skill or supporting resource excluded at user request.
.agents/skills/diagnosing-bugs/scripts/hitl-loop.template.sh	243198464a8401a7ba1d63b3708fa43c3d067665	excluded		Skill or supporting resource excluded at user request.
.agents/skills/domain-modeling/ADR-FORMAT.md	cbb9fbf1e5ae2502421efc65a8b9f2894a92bac7	excluded		Skill or supporting resource excluded at user request.
.agents/skills/domain-modeling/CONTEXT-FORMAT.md	79bbb32f6fda55758b377c980f72a6cb2b8c670e	excluded		Skill or supporting resource excluded at user request.
.agents/skills/domain-modeling/SKILL.md	ff54cafa6b604f8e8c318f9cb549357326f7a5a3	excluded		Skill or supporting resource excluded at user request.
.agents/skills/domain-modeling/agents/openai.yaml	c04c2bee5c91e6175b475909b5edc9bd4125b422	excluded		Skill or supporting resource excluded at user request.
.agents/skills/git-guardrails-claude-code/SKILL.md	58bcdd875b164093b95f436fa32a65c6cb5eb572	excluded		Skill or supporting resource excluded at user request.
.agents/skills/git-guardrails-claude-code/agents/openai.yaml	9b0fcc9d0aff858e98ae1c9c4acffc2a8d75363e	excluded		Skill or supporting resource excluded at user request.
.agents/skills/git-guardrails-claude-code/scripts/block-dangerous-git.sh	c40b59cb47880fc9da8fe4179bd742f51f09d17d	excluded		Skill or supporting resource excluded at user request.
.agents/skills/grill-me/SKILL.md	3947ff9c4ad980d14fc07fccbf659d47c114e81d	excluded		Skill or supporting resource excluded at user request.
.agents/skills/grill-me/agents/openai.yaml	d52b0ed28674e4142407f33bf0b09e677e5fa538	excluded		Skill or supporting resource excluded at user request.
